"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","Les fruits et légumes","","","Le vrac","","","Les fromages","","","Autres produits frais (ex: yahourts, pâtes)","","","Autres produits (boissons, produits ménagers, etc)","","","","","","Si l'épicerie test du Super Cafoutch pouvait ouvrir tous les jours, quel(s) jour(s) choisirais-tu pour y faire tes courses ?","","","","","","","A quelle(s) heure(s) souhaiterais-tu faire tes courses à l'épicerie test du Super Cafoutch le LUNDI ?","","","A quelle(s) heure(s) souhaiterais-tu faire tes courses à l'épicerie test du Super Cafoutch le MARDI ?","","","A quelle(s) heure(s) souhaiterais-tu faire tes courses à l'épicerie test du Super Cafoutch le MERCREDI ?","","","A quelle(s) heure(s) souhaiterais-tu faire tes courses à l'épicerie test du Super Cafoutch le JEUDI ?","","","A quelle(s) heure(s) souhaiterais-tu faire tes courses à l'épicerie test du Super Cafoutch le VENDREDI ?","","","A quelle(s) heure(s) souhaiterais-tu faire tes courses à l'épicerie test du Super Cafoutch le SAMEDI ?","","","A quelle(s) heure(s) souhaiterais-tu faire tes courses à l'épicerie test du Super Cafoutch le DIMANCHE ?","","","","Pourquoi n’as-tu jamais fait de créneau ?","","","","","","","Comment pourrait-on te faciliter la gestion de tes créneaux?","","","","","Si l'épicerie test du Super Cafoutch pouvait ouvrir tous les jours, quel(s) jour(s) choisirais-tu pour y faire ton créneau mensuel de 3h ?","","","","","","","A quelle(s) heure(s) souhaiterais-tu faire ton créneau à l'épicerie test du Super Cafoutch le LUNDI ?","","","A quelle(s) heure(s) souhaiterais-tu faire ton créneau à l'épicerie test du Super Cafoutch le MARDI ?","","","A quelle(s) heure(s) souhaiterais-tu faire ton créneau à l'épicerie test du Super Cafoutch le MERCREDI ?","","","A quelle(s) heure(s) souhaiterais-tu faire ton créneau à l'épicerie test du Super Cafoutch le JEUDI ?","","","A quelle(s) heure(s) souhaiterais-tu faire ton créneau à l'épicerie test du Super Cafoutch le VENDREDI ?","","","A quelle(s) heure(s) souhaiterais-tu faire ton créneau à l'épicerie test du Super Cafoutch le SAMEDI ?","","","A quelle(s) heure(s) souhaiterais-tu faire ton créneau à l'épicerie test du Super Cafoutch le DIMANCHE ?","","","","Pourquoi?","","","","","","","Pourquoi ?","","","","","","","","","","Laquelle ou lesquelles?","","","","","","","","","","","","Qu'as-tu pensé de ces récentes animations organisées par le Super Cafoutch ?","","","","","","","","","","",""
"entre 50 et 60 ans","salarié.e à plein temps","une femme","depuis la nuit des temps","deux fois par mois","bien","bien","pas terrible","pas terrible","très bien","bien","pas d'avis","pas d'avis","pas d'avis","très bien","très bien","pas d'avis","pas d'avis","pas d'avis","pas d'avis","","","oui","","","","","","","","","","","","","","","","","","","","","","","","","","","","","moins d'une fois par mois","","","","","","","","X","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","oui","","","","","","","non","","","","","X","Pas de raison particulière...,peut être la flemme après une journée de travail","","Comment supprimer définitivement toute forme de plastique des aliments emballés...","non","oui","","","","","X","","","","lepelletier.b@hotmail.fr","un peu","","je ne savais pas que ça existait mais ça m’intéresse","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","","","",""
"entre 50 et 60 ans","salarié.e à plein temps","une femme","depuis la nuit des temps","deux fois par mois","bien","bien","pas terrible","pas terrible","très bien","bien","pas d'avis","pas d'avis","pas d'avis","très bien","très bien","pas d'avis","pas d'avis","pas d'avis","pas d'avis","","","oui","","","","","","","","","","","","","","","","","","","","","","","","","","","","","moins d'une fois par mois","","","","","","","","X","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","oui","","","","","","","non","","","","","X","Pas de raison particulière...,peut être la flemme après une journée de travail","","Comment supprimer définitivement toute forme de plastique des aliments emballés...","non","oui","","","","","X","","","","lepelletier.b@hotmail.fr","un peu","","je ne savais pas que ça existait mais ça m’intéresse","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","","","",""
"plus de 60 ans","salarié.e à plein temps","une femme","il y a moins de 6 mois","une fois tous les deux mois (ou plus)","pas terrible","très bien","très bien","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","bien","très bien","très bien","Viande rayon frais boisson","Aménagement prix","oui","","","","","","X","","","","","","","","","","","","","","","","","X","X","","","","","je n'ai jamais fait de créneau","X","X","","","X","","","","","X","","","","","","","","X","","","","","","","","","","","","","","","","","X","","","","","","oui","","","","","","","non","","X","X","","","","","","non","non","","","","","","","","","","un peu","Accompagner le nouveau pendant qq créneaux en doublon","j’y ai déjà accès","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","","","","Pour moi la propriété de rencontre serait le supermarché. Le reste viendrait après"
"entre 20 et 30 ans","salarié.e à plein temps","une femme","il y a moins de 6 mois","une fois par semaine","bien","très bien","très bien","pas terrible","très bien","très bien","très bien","très bien","très bien","très bien","très bien","très bien","très bien","très bien","très bien","croquettes pour chat ","étoffer le nombre de produits en vrac si possile","oui","","X","X","X","X","","","","","","","","X","","","X","","","X","","","X","","","","","","","une fois par mois","","","","","","","","X","","X","","","","X","X","X","X","","","","","","","X","X","","X","X","","X","X","","X","X","","","","","","","oui","","","","","","","non","","","","","X","Je n'étais pas disponible le jour dit","","","non","non","","","","","","","","","","un peu","","je ne savais pas que ça existait mais ça m’intéresse","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","","","",""
"mois de 20 ans","étudiant.e","une femme","il y a moins de 6 mois","jamais","","","","","","","","","","","","","","","","","","oui","","","","","","","","","","","","","","","","","","","","","","","","","","","","","je n'ai jamais fait de créneau","","","","","","X","Je viens d'adhérer","","","","","","X","X","","X","","","","","","X","","","X","","","","","","X","","","","","","","","","","oui","","","","","","","non","","","","","X","Pas encore eu le temps","","","non","oui","X","","","","","","","","leila.santiducret@gmail.com","oui tout à fait","","je ne savais pas que ça existait mais ça m’intéresse","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","","","",""
"entre 30 et 40 ans","salarié.e à plein temps","une femme","entre 6 mois et un an","une fois par semaine","pas terrible","bien","bien","bien","bien","bien","très bien","très bien","très bien","très bien","très bien","bien","bien","bien","bien","Bokashi (pour faire du compost en appartement )","avoir encore plus de choix, des prix plus petits","oui","X","X","","","","","","","X","X","","X","X","","","","","","","","","","","","","","","","moins d'une fois par mois","","","","","","","","X","","","","","X","X","","","","","","","","X","","","X","","","","","","","","","","","","","","","","oui","","","","","","","non","","","","X","","","","","non","non","","","","","","","","","","oui tout à fait","","je ne savais pas que ça existait mais ça m’intéresse","très bien","très bien","très bien","très bien","très bien","très bien","très bien","très bien","","","","compostage: discuter des bons plans / composteurs publics existants sur marseille, ou à venir ? méthodologie de compostage..."
"entre 40 et 50 ans","sans activité principale","une femme","depuis la nuit des temps","une fois par mois","très bien","bien","mauvais","très bien","très bien","très bien","pas terrible","bien","mauvais","bien","très bien","bien","très bien","très bien","pas terrible","Gourdes, recipients de qualité type ""Top arwaere"", recipient pour faire du kombucha","Plus de produits en vrac, un espace accueil plus grand et confortable pour prendre le temps d'échanger ","oui","X","","","","","X","","","X","X","","","","","","","","","","","","","X","X","","","","","moins d'une fois par mois","","","","","","","","X","X","","","","X","X","X","","","","","X","","","X","","","","X","","","","","","","","","","","","","","oui","","","","","","","oui","","","","","","","Bonne communication , informatif, chaleureux","","oui","non","","","","","","","","","","oui tout à fait","","j’y ai déjà accès","pas terrible","mauvais","pas d'avis","pas d'avis","pas d'avis","pas d'avis","très bien","pas d'avis","Ateliers DIY, compostage, zero dechet","oui","berengere.richard@gmail.com","J'espère que le Super cafoutch gardera ce côté assez familial qui existe actuellement "
"entre 30 et 40 ans","salarié.e à plein temps","une femme","depuis la nuit des temps","deux fois par mois","bien","très bien","bien","très bien","très bien","très bien","bien","très bien","bien","bien","très bien","bien","bien","très bien","très bien","Petits suisses, de la viande et de la volaille","Accessibilité (m'oblige à faire un gros détour pour venir faire mes courses","oui","X","","","X","","X","","","","X","","","","","","","","","X","","","","X","X","","","","","une fois par mois","","","","","","","","X","X","X","X","","X","","","X","","","","","","X","","","","","","","","","X","","","","","","","","","","oui","","","","","","","oui","","","","","","","méthodes de participation collectives, apéro","","non","non","","","","","","","","","","un peu","","je ne savais pas que ça existait mais ça m’intéresse","très bien","très bien","pas d'avis","très bien","pas d'avis","pas d'avis","très bien","très bien","","","",""
"entre 50 et 60 ans","salarié.e à mi-temps","une femme","depuis la nuit des temps","une fois par mois","bien","bien","bien","très bien","très bien","bien","très bien","très bien","bien","bien","très bien","pas terrible","bien","bien","bien","Fruits secs en vrac : ananas mangues","Attente du nouveau local plus accessible avec plus de choix dans les gammes de produits.  Actuelllement impossible compte tenu d","oui","X","","","","","","","X","X","","","","","","","","","","","","","","","","","","","","moins d'une fois par mois","","","","","","","","X","","","","","X","","","","","","","X","X","","","","","","","","","","","","","","","","","","","","oui","","","","","","","oui","","","","","","","Echanges","","oui","non","","","","","","","","","","oui tout à fait","","j’y ai déjà accès","bien","bien","très bien","très bien","très bien","très bien","bien","très bien","Étendre les ateliers enfants","non","",""
"entre 30 et 40 ans","parent au foyer","une femme","il y a moins de 6 mois","une fois par mois","très bien","très bien","bien","très bien","très bien","bien","très bien","très bien","bien","bien","bien","bien","bien","bien","bien","beaucoup plus de fruits et légumes","Que tout puisse devenir zéro déchet","oui","","","","","","","X","","","","","","","","","","","","","","","","","","","X","X","X","plus d'une fois par mois","","","","","","","","","","","X","","","","","","","X","","","","","","","","","","","","","","","","","X","","","","","","oui","","","","","","","oui","","","","","","","L'ambiance chaleureuse, conviviale...","Sur la création de temps ateliers pour apprendre à confectionner soi même plein de choses","non","oui","","X","X","X","X","X","X","","","un peu","Etre un peu plus accompagnée quand on fait nos créneaux à des postes dont on ne connais pas envore","je ne savais pas que ça existait mais ça m’intéresse","très bien","très bien","très bien","très bien","très bien","très bien","très bien","très bien","beaucoup plus d'atelier de création de toutes sortes","oui","","Afficher l'info que les enfants peuvent participer aux créneaux avec leur parent"
"entre 30 et 40 ans","salarié.e à plein temps","une femme","il y a moins de 6 mois","deux fois par mois","bien","très bien","pas terrible","bien","très bien","pas terrible","bien","très bien","pas terrible","pas terrible","très bien","pas terrible","pas terrible","très bien","pas terrible","Un maximum de produits secs de base avec de la variété au maximum en vrac : farines, féculents, huiles, légumineuses","du bio autant que possible, du local autant que possible","oui","X","X","","","X","X","","","","X","","","X","","","","","","","","","X","X","X","","","","","je n'ai jamais fait de créneau","","","","","","X","Je viens d'arriver et j'ai eu la grippe à la date de mon premier créneau, et depuis quarantaine ! Mais plus que volontaire !","","X","","X","","","","","","X","X","","","","","","","","","","","","","","","X","X","X","X","X","","","","oui","","","","","","","oui","","","","","","","Se voir, super énergie, les idées, le temps partagé","","oui","oui","","","X","X","","","","","helene.cochet-hache@hotmail.fr","pas vraiment","","j’y ai déjà accès","très bien","très bien","très bien","très bien","très bien","très bien","très bien","très bien","","","","Je suis à fond, Bravo ! Vivement le grand supermarché :)"
"entre 20 et 30 ans","salarié.e à plein temps","un homme","entre 6 mois et un an","jamais","","","","","","","","","","","","","","","","","","oui","","","","","","","","","","","","","","","","","","","","","","","","","","","","","je n'ai jamais fait de créneau","X","","","","X","","","","","","","","","","","","","X","","","","","","","","","","","","","","","","","X","X","X","","","","oui","","","","","","","non","","","","","","","","","non","non","","","","","","","","","","pas vraiment","","je ne savais pas que ça existait mais ça ne m’intéresse pas","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","","","",""
"plus de 60 ans","salarié.e à plein temps","un homme","depuis la nuit des temps","une fois par mois","pas terrible","bien","bien","bien","bien","bien","bien","très bien","très bien","pas terrible","très bien","très bien","bien","bien","pas terrible","Viande.poissons.",".","oui","X","","X","X","","","","","","X","","","","","","X","","","X","","","","","","","","","","je n'ai jamais fait de créneau","X","","","","","","","","","","X","","X","","","","","","","","","X","","","","","","","","","","","","","","","","","","","oui","","","","","","","oui","","","","","","","L'ouverture  d esprit ","","oui","non","","","","","","","","","","oui tout à fait","","j’y ai déjà accès","bien","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","très bien","","","",""
"entre 30 et 40 ans","salarié.e à plein temps","un homme","il y a moins de 6 mois","deux fois par mois","pas terrible","très bien","très bien","bien","bien","bien","bien","très bien","bien","pas terrible","très bien","bien","bien","bien","bien","Plus de fruits et légumes, du kombucha (la marque lokki est cool)","Créations d’ateliers pratiques (cuisine, bricolage, confection d’objets etc...)","non","","X","X","X","X","X","","","","","X","","X","X","","X","X","","X","X","","X","X","","X","","","","moins d'une fois par mois","","","","","","","","","X","X","X","","","X","X","X","X","","","","","","X","","X","X","","X","X","","X","X","","X","","","","","","","oui","","","","","","","non","","","","","X","Je n’ai pas toujours l’information au bon moment","","","non","oui","X","X","","X","","","","","sebastien.cordoba@hotmail.fr","oui tout à fait","","je ne savais pas que ça existait mais ça m’intéresse","bien","pas d'avis","pas d'avis","pas d'avis","bien","pas d'avis","bien","très bien","","","","Vivement l’ouverture de notre supermarché coopératif !"
